종류,시설명,정원,소재지,전화번호,시설장,데이터기준일자
노인요양시설,YWCA 은학의 집,29,경기도 성남시 분당구 벌말로30번길 41 (야탑동),031-707-8790,윤수정,2024-06-07
노인요양시설,가천효요양원,41,"경기도 성남시 수정구 성남대로 1334, 4층 (태평동)",031-757-7600,김회식,2024-06-07
노인요양시설,고운손요양원,25,"경기도 성남시 분당구 구미로 124, 4층 (구미동, 구미동,굿모닝프라자1)",031-714-5047,박재우,2024-06-07
노인요양시설,괜찮은 요양원,42,경기도 성남시 중원구 광명로 57 (성남동),031-722-4660,이현주,2024-06-07
노인요양시설,노블레스요양원,49,"경기도 성남시 중원구 도촌로 12, 501호 (도촌동)",031-752-2224,양연종,2024-06-07
노인요양시설,더힐링요양원,49,경기도 성남시 분당구 장안로16번길 10 (분당동),031-703-1197,김선영,2024-06-07
노인요양시설,로뎀나무 요양원,72,"경기도 성남시 수정구 탄리로 108-1 (태평동, 혜성빌딩 4층)",031-753-3525,김리안,2024-06-07
노인요양시설,메디케어,36,"경기도 성남시 분당구 미금로 48 (구미동, 오성프라자 5층)",031-719-9949,송원숙,2024-06-07
노인요양시설,베스트요양원,41,"경기도 성남시 중원구 도촌남로 33 (도촌동, 601,401,402호(세일프라자))",031-755-9909,이희숙,2024-06-07
노인요양시설,분당메디케어,49,"경기도 성남시 분당구 정자일로 158, 8층 (정자동, 백궁프라자2차)",031-711-9959,이종례,2024-06-07
노인요양시설,석운노인전문요양원,135,경기도 성남시 분당구 석운로 133 (석운동),031-709-2340,정성원,2024-06-07
노인요양시설,성남 천상의집 1관,29,"경기도 성남시 분당구 성남대로779번길 13, 201호 (이매동, 오성프라자)",031-709-4992,유경화,2024-06-07
노인요양시설,성남 천상의집 2관,29,"경기도 성남시 분당구 성남대로779번길 13 (이매동, 오성프라자 301,302,401,404~406)",031-703-4992,김윤혜,2024-06-07
노인요양시설,성남시노인보건센터,153,경기도 성남시 중원구 금상로 137 (상대원동),031-739-3000,김용혜,2024-06-07
노인요양시설,성남요양원,162,경기도 성남시 수정구 수정북로 90 (태평동),031-722-1155,이영숙,2024-06-07
노인요양시설,성남은빛요양원,27,"경기도 성남시 중원구 둔촌대로425번길 28, 5,6,7층 (상대원동)",031-743-2527,김태선,2024-06-07
노인요양시설,성모실버홈,75,경기도 성남시 수정구 성남대로1226번길 19 (수진동),031-721-7772,박동서,2024-06-07
노인요양시설,순효노인요양원,93,"경기도 성남시 중원구 산성대로 94 (성남동,정빌딩)",031-754-5008,박형숙,2024-06-07
노인요양시설,스카이빌요양원,73,경기도 성남시 수정구 수정로 76 (수진동),031-750-6098,박계순,2024-06-07
노인요양시설,시온의집,21,경기도 성남시 중원구 둔촌대로389번길 22 (상대원동),031-734-5401,윤영준,2024-06-07
노인요양시설,실버릿지판교,35,경기도 성남시 수정구 사송로80번길 7 (사송동),031-723-5812,강영희,2024-06-07
노인요양시설,에이치요양원,81,"경기도 성남시 분당구 백현로 97 (수내동, 다운타운빌딩 1101호)",031-1577-5975,홍남숙,2024-06-07
노인요양시설,위례보아스요양원,40,"경기도 성남시 수정구 위례서일로 12, 7층 (창곡동)",031-721-9920,서혜진,2024-06-07
노인요양시설,위례수실버요양원,26,"경기도 성남시 수정구 위례광장로 310, A동 801호 (창곡동)",031-754-8400,유지원,2024-06-07
노인요양시설,'이진'요양원,20,"경기도 성남시 중원구 양현로 409, 9층 (여수동, 어반스퀘어)",031-753-5004,이진,2024-06-07
노인요양시설,인보의집소규모요양시설,17,경기도 성남시 수정구 탄리로 49 (수진동),031-751-1937,조은진,2024-06-07
노인요양시설,일정요양원,42,경기도 성남시 중원구 성남대로1130번길 25 (성남동),031-759-7597,문현식,2024-06-07
노인요양시설,자광원,89,경기도 성남시 수정구 가마절로 40 (복정동),031-759-5320,김정자,2024-06-07
노인요양시설,정성노인의집,50,경기도 성남시 분당구 석운로 146 (석운동),031-705-3973,김혜성,2024-06-07
노인요양시설,정자메디케어요양원,21,"경기도 성남시 분당구 정자일로 158, 6층 601-604호 (정자동)",031-719-9930,임우택,2024-06-07
노인요양시설,태평요양원,73,경기도 성남시 수정구 시민로186번길 5 (태평동),031-721-8948,황신우,2024-06-07
노인요양시설,파드마노인전문요양원,98,경기도 성남시 중원구 제일로73번길 6 (성남동),031-752-3885,정윤만,2024-06-07
노인요양시설,헤리티지요양원,84,"경기도 성남시 분당구 대왕판교로 155, 2~3층 (금곡동)",031-8022-0100,허혜정,2024-06-07
노인요양시설,효사랑요양원,78,경기도 성남시 중원구 둔촌대로 220 (하대원동),031-751-6100,조명숙,2024-06-07
노인요양시설,헤리티지너싱홈요양원,66,"경기도 성남시 분당구 대왕판교로 155-8, 1층, 4층 (금곡동)",031-8022-0163,심영근,2024-06-07
노인요양공동생활가정,벧엘요양센터,9,"경기도 성남시 중원구 광명로 331, 3층 (금광동)",031-722-1020,최은희,2024-06-07
노인요양공동생활가정,분당 참사랑 실버홈(1호점),9,"경기도 성남시 분당구 야탑로 24 (야탑동,덕인빌딩201호)",031-781-7781,정은수,2024-06-07
노인요양공동생활가정,분당 참사랑 실버홈(2호점),9,"경기도 성남시 분당구 야탑로 24 (야탑동,덕인빌딩 201)",031-781-7781,신지영,2024-06-07
노인요양공동생활가정,분당 참사랑 실버홈(3호점),9,경기도 성남시 분당구 야탑로 24 (야탑동),031-781-7781,김수형,2024-06-07
노인요양공동생활가정,성남어르신요양센터1호점,9,"경기도 성남시 수정구 수정로 144, 4층 (수진동)",031-722-6033,오윤경,2024-06-07
노인요양공동생활가정,성남어르신요양센터2호점,9,"경기도 성남시 수정구 수정로 144, 4층 (수진동)",031-722-6033,장효은,2024-06-07
노인요양공동생활가정,한마음요양원,9,경기도 성남시 중원구 광명로 336 (금광동),031-742-7877,유준철,2024-06-07
